time,frequency,confidence
6.270,35.909,0.122017
6.280,36.554,0.118465
6.290,36.222,0.168998
6.300,35.842,0.032494
6.310,33.451,0.056694
6.320,33.321,0.081813
6.330,33.501,0.063882
6.340,33.635,0.153066
6.350,33.841,0.253878
6.360,33.791,0.515393
6.370,32.557,0.292590
6.380,32.006,0.239557
6.390,31.927,0.109645
6.400,56.094,0.010147
6.410,57.789,0.021337
6.420,35.873,0.094464
6.430,32.355,0.035883
6.440,55.758,0.037952
6.450,32.461,0.008305
6.460,99.653,0.039628
6.470,137.945,0.065911
6.480,140.559,0.046501
6.490,39.933,0.035615
6.500,33.203,0.075942
6.510,33.197,0.548094
6.520,33.390,0.411325
6.530,33.546,0.361887
6.540,32.985,0.415211
6.550,32.573,0.052746
6.560,56.469,0.011936
6.570,35.592,0.018028
6.580,37.586,0.020521
6.590,43.276,0.020640
6.600,49.330,0.008131
6.610,33.925,0.019445
6.620,33.918,0.719394
6.630,33.462,0.306708
6.640,32.722,0.065403
6.650,37.385,0.063573
6.660,32.991,0.074531
6.670,32.818,0.428840
6.680,32.757,0.326279
6.690,32.973,0.014295
6.700,33.451,0.261471
6.710,33.222,0.226937
6.720,34.211,0.019100
6.730,44.439,0.027085
6.740,44.065,0.093598
6.750,43.798,0.045945
6.760,34.835,0.151512
6.770,33.329,0.141852
6.780,33.277,0.032539
6.790,34.308,0.099694
6.800,35.333,0.023746
6.810,50.201,0.010202
6.820,49.934,0.025055
6.830,42.220,0.007245
6.840,40.580,0.023748
6.850,32.323,0.040027
6.860,32.694,0.112329
6.870,32.813,0.054257
6.880,33.334,0.051504
6.890,32.235,0.089577
6.900,35.889,0.174336
6.910,35.478,0.164473
6.920,36.728,0.228705
6.930,37.106,0.269170
6.940,36.157,0.261253
6.950,34.746,0.324302
6.960,33.216,0.554188
6.970,32.597,0.504804
6.980,62.764,0.394969
6.990,63.384,0.151910
7.000,32.941,0.097410
7.010,33.235,0.095944
7.020,39.923,0.163854
7.030,40.655,0.050881
7.040,32.614,0.083824
7.050,32.332,0.073628
